Nov 19, 2020  02:21:42 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.24E-004 
Filament Current, 1.00, mAmps


 50.30,   3.58E-008, 
 50.40,   1.96E-008, 
 50.50,   7.42E-009, 
 50.60,   4.55E-009, 
 50.70,   6.27E-009, 
 50.80,   9.34E-009, 
 50.90,   1.32E-008, 
 51.00,   1.60E-008, 
 51.10,   1.76E-008, 
 51.20,   1.79E-008, 
 51.30,   1.72E-008, 
 51.40,   1.21E-008, 
 51.50,   5.52E-009, 
 51.60,   4.17E-009, 
 51.70,   7.11E-009, 
 51.80,   1.08E-008, 
 51.90,   1.52E-008, 
 52.00,   1.79E-008, 
 52.10,   1.96E-008, 
 52.20,   1.96E-008, 
 52.30,   1.87E-008, 
 52.40,   1.28E-008, 
 52.50,   5.87E-009, 
 52.60,   3.57E-009, 
 52.70,   5.43E-009, 
 52.80,   8.77E-009, 
 52.90,   1.31E-008, 
 53.00,   1.63E-008, 
 53.10,   1.81E-008, 
 53.20,   1.89E-008, 
 53.30,   1.84E-008, 
 53.40,   1.47E-008, 
 53.50,   7.08E-009, 
 53.60,   3.94E-009, 
 53.70,   5.34E-009, 
 53.80,   8.61E-009, 
 53.90,   1.26E-008, 
 54.00,   1.63E-008, 
 54.10,   1.83E-008, 
 54.20,   2.48E-008, 
 54.30,   2.37E-008, 
 54.40,   1.86E-008, 
 54.50,   9.62E-009, 
 54.60,   7.93E-009, 
 54.70,   1.90E-008, 
 54.80,   3.66E-008, 
 54.90,   5.42E-008, 
 55.00,   6.62E-008, 
 55.10,   7.33E-008, 
 55.20,   7.46E-008, 
 55.30,   6.98E-008, 
 55.40,   5.13E-008, 
 55.50,   1.99E-008, 
 55.60,   1.13E-008, 
 55.70,   2.25E-008, 
 55.80,   4.50E-008, 
 55.90,   6.77E-008, 
 56.00,   8.36E-008, 
 56.10,   9.22E-008, 
 56.20,   9.48E-008, 
 56.30,   8.89E-008, 
 56.40,   6.63E-008, 
 56.50,   2.39E-008, 
 56.60,   9.69E-009, 
 56.70,   1.19E-008, 
 56.80,   2.13E-008, 
 56.90,   3.29E-008, 
 57.00,   4.21E-008, 
 57.10,   4.70E-008, 
 57.20,   4.95E-008, 
 57.30,   4.74E-008, 
 57.40,   3.73E-008, 
 57.50,   1.66E-008, 
 57.60,   9.86E-009, 
 57.70,   1.83E-008, 
 57.80,   3.39E-008, 
 57.90,   5.10E-008, 
 58.00,   6.21E-008, 
 58.10,   7.02E-008, 
 58.20,   7.10E-008, 
 58.30,   6.67E-008, 
 58.40,   4.52E-008, 
 58.50,   1.60E-008, 
 58.60,   5.84E-009, 
 58.70,   3.40E-009, 
 58.80,   3.26E-009, 
 58.90,   3.91E-009, 
 59.00,   4.74E-009, 
 59.10,   5.54E-009, 
 59.20,   5.90E-009, 
 59.30,   5.79E-009, 
 59.40,   4.86E-009, 
 59.50,   2.93E-009, 
 59.60,   1.99E-009, 
 59.70,   2.79E-009, 
 59.80,   4.44E-009, 
 59.90,   6.68E-009, 
 60.00,   8.08E-009, 
 60.10,   9.64E-009, 
 60.20,   1.02E-008, 
 60.30,   9.75E-009, 
 60.40,   7.24E-009, 
 60.50,   3.49E-009, 
 60.60,   1.86E-009, 
 60.70,   1.48E-009, 
 60.80,   1.86E-009, 
 60.90,   2.60E-009, 
 61.00,   3.01E-009, 
 61.10,   3.60E-009, 
 61.20,   3.92E-009, 
 61.30,   3.75E-009, 
 61.40,   2.86E-009, 
 61.50,   1.54E-009, 
 61.60,   1.07E-009, 
 61.70,   1.33E-009, 
 61.80,   1.99E-009, 
 61.90,   2.96E-009, 
 62.00,   3.55E-009, 
 62.10,   4.22E-009, 
 62.20,   4.46E-009, 
 62.30,   4.43E-009, 
 62.40,   3.34E-009, 
 62.50,   1.67E-009, 
 62.60,   1.11E-009, 
 62.70,   1.09E-009, 
 62.80,   1.36E-009, 
 62.90,   2.04E-009, 
 63.00,   2.42E-009, 
 63.10,   3.05E-009, 
 63.20,   3.63E-009, 
 63.30,   4.24E-009, 
 63.40,   4.51E-009, 
 63.50,   5.49E-009, 
 63.60,   1.32E-008, 
 63.70,   4.05E-008, 
 63.80,   6.88E-008, 
 63.90,   9.37E-008, 
 64.00,   1.05E-007, 
 64.10,   1.15E-007, 
 64.20,   1.09E-007, 
 64.30,   8.65E-008, 
 64.40,   3.32E-008, 
 64.50,   9.73E-009, 
 64.60,   4.26E-009, 
 64.70,   3.35E-009, 
 64.80,   3.94E-009, 
 64.90,   5.09E-009, 
 65.00,   6.25E-009, 
