Nov 19, 2020  04:33:55 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.24E-004 
Filament Current, 1.00, mAmps


 61.70,   9.93E-010, 
 61.80,   1.55E-009, 
 61.90,   2.18E-009, 
 62.00,   2.73E-009, 
 62.10,   3.02E-009, 
 62.20,   3.07E-009, 
 62.30,   2.52E-009, 
 62.40,   1.52E-009, 
 62.50,   7.61E-010, 
 62.60,   5.25E-010, 
 62.70,   5.95E-010, 
 62.80,   1.04E-009, 
 62.90,   1.49E-009, 
 63.00,   1.83E-009, 
 63.10,   2.19E-009, 
 63.20,   2.57E-009, 
 63.30,   2.86E-009, 
 63.40,   2.91E-009, 
 63.50,   5.02E-009, 
 63.60,   1.63E-008, 
 63.70,   3.47E-008, 
 63.80,   5.11E-008, 
 63.90,   5.98E-008, 
 64.00,   7.09E-008, 
 64.10,   6.77E-008, 
 64.20,   6.52E-008, 
 64.30,   3.37E-008, 
 64.40,   1.10E-008, 
 64.50,   4.06E-009, 
 64.60,   2.32E-009, 
 64.70,   2.10E-009, 
 64.80,   2.43E-009, 
 64.90,   2.76E-009, 
 65.00,   3.25E-009, 
