#date: 26.11.2020	time: 20:46:11
#time, s	V1, V	V2, V	I, A	R, Ohm	, P,W	T, C
3.07674E+2	3.58168E+0	2.25726E-2	1.96283E+0	1.82475E+0	7.03024E+0	4.58592E+2
3.08394E+2	3.73495E+0	2.34844E-2	2.04212E+0	1.82896E+0	7.62721E+0	4.59651E+2
3.09113E+2	3.96433E+0	2.46158E-2	2.14050E+0	1.85206E+0	8.48566E+0	4.65458E+2
3.09834E+2	4.20729E+0	2.55905E-2	2.22526E+0	1.89070E+0	9.36230E+0	4.75171E+2
3.10554E+2	4.44587E+0	2.63454E-2	2.29091E+0	1.94066E+0	1.01851E+1	4.87730E+2
3.11273E+2	4.54130E+0	2.62914E-2	2.28621E+0	1.98639E+0	1.03823E+1	4.99225E+2
3.11993E+2	4.61745E+0	2.62939E-2	2.28643E+0	2.01951E+0	1.05575E+1	5.07551E+2
3.12713E+2	4.67572E+0	2.62953E-2	2.28655E+0	2.04488E+0	1.06913E+1	5.13930E+2
3.13332E+2	4.71601E+0	2.62916E-2	2.28623E+0	2.06279E+0	1.07819E+1	5.18433E+2
3.13934E+2	4.74899E+0	2.62942E-2	2.28645E+0	2.07702E+0	1.08583E+1	5.22008E+2
3.14542E+2	4.77844E+0	2.62941E-2	2.28644E+0	2.08990E+0	1.09256E+1	5.25247E+2
3.15263E+2	4.80213E+0	2.62952E-2	2.28654E+0	2.10017E+0	1.09803E+1	5.27830E+2
3.15982E+2	4.81899E+0	2.62963E-2	2.28664E+0	2.10746E+0	1.10193E+1	5.29660E+2
3.16703E+2	4.83266E+0	2.62969E-2	2.28669E+0	2.11339E+0	1.10508E+1	5.31152E+2
3.17422E+2	4.84590E+0	2.62966E-2	2.28666E+0	2.11921E+0	1.10809E+1	5.32614E+2
3.18142E+2	4.85953E+0	2.62958E-2	2.28659E+0	2.12523E+0	1.11118E+1	5.34127E+2
3.18861E+2	4.86763E+0	2.63000E-2	2.28696E+0	2.12843E+0	1.11320E+1	5.34932E+2
3.19573E+2	4.87118E+0	2.62987E-2	2.28684E+0	2.13009E+0	1.11396E+1	5.35350E+2
3.20292E+2	4.87336E+0	2.62980E-2	2.28678E+0	2.13110E+0	1.11443E+1	5.35604E+2
3.20893E+2	4.87436E+0	2.62966E-2	2.28666E+0	2.13165E+0	1.11460E+1	5.35743E+2
3.21562E+2	4.87281E+0	2.62989E-2	2.28686E+0	2.13078E+0	1.11434E+1	5.35524E+2
3.22281E+2	4.87467E+0	2.62973E-2	2.28672E+0	2.13173E+0	1.11470E+1	5.35762E+2
3.23002E+2	4.87838E+0	2.62974E-2	2.28673E+0	2.13335E+0	1.11555E+1	5.36169E+2
3.23721E+2	4.88155E+0	2.62977E-2	2.28676E+0	2.13470E+0	1.11629E+1	5.36510E+2
3.24441E+2	4.88394E+0	2.62979E-2	2.28677E+0	2.13573E+0	1.11685E+1	5.36768E+2
3.25161E+2	4.88883E+0	2.62952E-2	2.28654E+0	2.13809E+0	1.11785E+1	5.37361E+2
3.25872E+2	4.89521E+0	2.62976E-2	2.28675E+0	2.14069E+0	1.11941E+1	5.38014E+2
3.26591E+2	4.89857E+0	2.62977E-2	2.28675E+0	2.14215E+0	1.12018E+1	5.38382E+2
3.27311E+2	4.89897E+0	2.62984E-2	2.28681E+0	2.14227E+0	1.12030E+1	5.38412E+2
3.27991E+2	4.89895E+0	2.62999E-2	2.28695E+0	2.14214E+0	1.12036E+1	5.38378E+2
3.28700E+2	4.89546E+0	2.62993E-2	2.28690E+0	2.14066E+0	1.11954E+1	5.38006E+2
3.29421E+2	4.89347E+0	2.62989E-2	2.28686E+0	2.13982E+0	1.11907E+1	5.37795E+2
3.30140E+2	4.89386E+0	2.62981E-2	2.28679E+0	2.14005E+0	1.11913E+1	5.37855E+2
3.30861E+2	4.89240E+0	2.62988E-2	2.28685E+0	2.13936E+0	1.11882E+1	5.37679E+2
3.31580E+2	4.89290E+0	2.62984E-2	2.28682E+0	2.13961E+0	1.11892E+1	5.37743E+2
3.32292E+2	4.89419E+0	2.62972E-2	2.28671E+0	2.14027E+0	1.11916E+1	5.37910E+2
3.33011E+2	4.89359E+0	2.62989E-2	2.28686E+0	2.13988E+0	1.11909E+1	5.37810E+2
3.33731E+2	4.89166E+0	2.62975E-2	2.28674E+0	2.13915E+0	1.11859E+1	5.37626E+2
3.34450E+2	4.89028E+0	2.62989E-2	2.28686E+0	2.13842E+0	1.11834E+1	5.37445E+2
3.35171E+2	4.88768E+0	2.62986E-2	2.28684E+0	2.13731E+0	1.11773E+1	5.37166E+2
3.35880E+2	4.88434E+0	2.62987E-2	2.28684E+0	2.13584E+0	1.11697E+1	5.36796E+2
3.36600E+2	4.88202E+0	2.62984E-2	2.28682E+0	2.13485E+0	1.11643E+1	5.36547E+2
3.37320E+2	4.88495E+0	2.62978E-2	2.28677E+0	2.13618E+0	1.11707E+1	5.36881E+2
3.38039E+2	4.89158E+0	2.62961E-2	2.28661E+0	2.13923E+0	1.11852E+1	5.37647E+2
